Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
beans,0,6.60E-05,3,6,0.294117647,0.352452026,0.291964286,0.294024276,0.291964286,0.486296198,0.318967025,18.53557897,0.026186466
beans,1,0.001773045,2,3,0.323529412,0.338235294,0.323529412,0.329201759,0.323529412,0.518454441,0.353797757,15.80383348,0.023854494
beans,2,1.08E-05,0,6,0.441176471,0.279387377,0.439979628,0.45006105,0.439979628,0.585563411,0.406037115,9.038142443,0.022196531
beans,3,1.42E-05,0,8,0.230769231,0.38447205,0.231372549,0.229362425,0.231372549,0.418909593,0.292079862,8.989228725,0.02061677
beans,4,2.05E-05,2,3,0.333333333,0.333605841,0.332365674,0.342074499,0.332365674,0.518988288,0.353675004,15.81065655,0.025695562
beans,5,0.001840643,2,6,0.225490196,0.386591128,0.225940073,0.222116284,0.225940073,0.416056324,0.28050995,15.07864928,0.024411917
beans,6,1.96E-06,2,5,0.34,0.330600318,0.335601337,0.323792271,0.335601337,0.523401784,0.351419154,15.25695682,0.024050474
beans,7,9.20E-06,0,8,0.28125,0.358226496,0.283429049,0.283326572,0.283429049,0.466769867,0.300139733,9.002341986,0.232405186
beans,8,4.11E-06,1,2,0.392156863,0.303105105,0.393565911,0.395837978,0.393565911,0.537784512,0.374648435,13.62715077,0.025128365
beans,9,1.83E-05,0,8,0.322916667,0.340633903,0.319841561,0.321789322,0.319841561,0.486343845,0.320429707,9.013633251,0.021974802
binary_alpha_digits,0,0.000406082,0,4,0.014285714,0.028156457,0.013888889,0.009027778,0.013888889,0.508133657,0.039563966,3.805956364,0.030416965
binary_alpha_digits,1,0.003802054,3,7,0.05,0.02714267,0.048611111,0.07202381,0.048611111,0.475424722,0.046616015,4.200693607,0.029235363
binary_alpha_digits,2,0.000756685,2,5,0.028571429,0.027755415,0.027777778,0.025012025,0.027777778,0.469958469,0.037761373,4.594526052,0.035536289
binary_alpha_digits,3,0.00001,1,4,0.007142857,0.028055921,0.013888889,0.000254842,0.013888889,0.485978351,0.049588402,4.468841314,0.027915001
binary_alpha_digits,4,0.008260733,2,8,0.066176471,0.026668723,0.069444444,0.051851852,0.069444444,0.502246477,0.051354722,3.399672747,0.028516531
binary_alpha_digits,5,1.00E-06,1,7,0.028571429,0.027777778,0.027777778,0.005274008,0.027777778,0.508138875,0.050969476,3.306146622,0.028126717
binary_alpha_digits,6,0.000245104,1,8,0.014705882,0.028144952,0.013888889,0.006944444,0.013888889,0.517533507,0.04158031,3.019917965,0.027583122
binary_alpha_digits,7,1.00E-06,3,4,0.007142857,0.028390523,0.006944444,0.000408497,0.006944444,0.500034352,0.035585323,6.115516663,0.029294252
binary_alpha_digits,8,6.41E-06,0,8,0.029411765,0.027681285,0.032407407,0.002803654,0.032407407,0.474437687,0.035898476,2.652071238,0.026783228
binary_alpha_digits,9,0.003034332,3,8,0.014705882,0.028144999,0.013888889,0.0125,0.013888889,0.455932343,0.031782952,3.655657768,0.028055191
cats_vs_dogs,0,1.00E-06,3,7,0.545918367,0.474318822,0.525681178,0.569886364,0.525681178,0.479538574,0.489958171,34.91513968,0.041069746
cats_vs_dogs,1,1.01E-06,0,4,0.525,0.485977564,0.514022436,0.520071685,0.514022436,0.518028846,0.537197606,18.02438569,0.032208681
cats_vs_dogs,2,1.01E-06,3,8,0.555,0.456330128,0.543669872,0.564583025,0.543669872,0.527694311,0.523719307,34.65734267,0.036677361
cats_vs_dogs,3,1.03E-06,0,4,0.47,0.542067308,0.457932692,0.434375,0.457932692,0.482371795,0.492455549,18.16812801,0.030478239
cats_vs_dogs,4,1.00E-06,0,2,0.465,0.546474359,0.453525641,0.431269442,0.453525641,0.434795673,0.448001938,19.84716654,0.032914162
cats_vs_dogs,5,2.92E-06,2,6,0.505050505,0.505208333,0.494791667,0.490399096,0.494791667,0.49438317,0.51119549,29.03204989,0.035631657
cats_vs_dogs,6,1.66E-06,2,8,0.48,0.530448718,0.469551282,0.458333333,0.469551282,0.525440705,0.525163221,28.949857,0.033912659
cats_vs_dogs,7,0.000001,3,4,0.555,0.459935897,0.540064103,0.591428571,0.540064103,0.578826122,0.581691203,35.30740213,0.036616325
cats_vs_dogs,8,1.03E-06,0,8,0.5,0.51679198,0.48320802,0.469606242,0.48320802,0.520802005,0.514990843,17.74250531,0.029397964
cats_vs_dogs,9,1.10E-06,2,8,0.515,0.507518797,0.492481203,0.460526316,0.492481203,0.496340852,0.491994668,28.88068604,0.034248829
cifar10,0,0.00187773,0,2,0.375,0.069603394,0.367370237,0.378677835,0.367370237,0.80596128,0.382669784,6.498338699,0.020828485
cifar10,1,0.000450804,0,2,0.455,0.0605193,0.456053903,0.455686515,0.456053903,0.845522989,0.46519294,7.310672998,0.020078659
cifar10,2,0.000642191,0,8,0.46,0.060097702,0.460816352,0.445959189,0.460816352,0.848435251,0.472496777,4.609507084,0.019766092
cifar10,3,0.000745895,0,8,0.44,0.062289919,0.438924394,0.455166411,0.438924394,0.842287412,0.46175729,4.275782347,0.01781702
cifar10,4,0.01472061,1,4,0.5,0.05561812,0.500081726,0.505667527,0.500081726,0.860324756,0.505882202,6.260619879,0.020145655
cifar10,5,0.000262721,0,2,0.525,0.052840992,0.522255276,0.517728286,0.522255276,0.890720755,0.544682438,6.451441288,0.020824194
cifar10,6,0.001688196,0,8,0.355,0.071647822,0.353582259,0.376174226,0.353582259,0.807245744,0.38339955,4.159296274,0.020436049
cifar10,7,0.000896074,0,8,0.46,0.060016996,0.454559257,0.458255013,0.454559257,0.859272696,0.485259216,4.096255064,0.016159773
cifar10,8,0.000895468,0,6,0.363636364,0.070756135,0.359756649,0.374900977,0.359756649,0.837231826,0.422007576,4.430075407,0.022419214
cifar10,9,0.000424317,0,2,0.48,0.057811506,0.473433766,0.483584318,0.473433766,0.861170504,0.49171641,6.503760099,0.019739389
citrus_leaves,0,1.18E-06,3,2,0.333333333,0.25,0.25,0.083333333,0.25,0.637586354,0.378250256,11.87884831,0.031055212
citrus_leaves,1,2.97E-06,3,8,0.392857143,0.242857143,0.265625,0.345454545,0.265625,0.573762005,0.301984535,11.21650338,0.029720306
citrus_leaves,2,1.02E-05,3,8,0.267857143,0.267712551,0.211601307,0.140178571,0.211601307,0.540363446,0.298661217,11.38620806,0.036904097
citrus_leaves,3,1.00E-06,0,3,0.366666667,0.241204532,0.267507003,0.175925926,0.267507003,0.576176796,0.29788877,6.091736078,0.030851841
