Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
horses_or_humans,0,0.003708348,0,7,0.469387755,0.530416667,0.469583333,0.469583333,0.469583333,0.471354167,0.502427622,12.08748031,0.028576136
horses_or_humans,1,1.21E-06,1,2,0.519607843,0.485769231,0.514230769,0.520363236,0.514230769,0.55,0.552772608,18.07969093,0.030674934
horses_or_humans,2,0.000291782,1,4,0.59,0.410364146,0.589635854,0.58974359,0.589635854,0.612244898,0.600882322,17.16468501,0.031560421
horses_or_humans,3,1.44E-06,0,2,0.539215686,0.469580285,0.530419715,0.538127413,0.530419715,0.467847516,0.480287203,12.92888618,0.02877593
horses_or_humans,4,0.00020631,1,3,0.598039216,0.401424721,0.598575279,0.598461538,0.598575279,0.57335387,0.543191726,17.39490318,0.029885054
horses_or_humans,5,0.005744746,1,7,0.520408163,0.481666667,0.518333333,0.519122121,0.518333333,0.575416667,0.58011513,16.77071619,0.029992819
horses_or_humans,6,0.000392825,0,2,0.490196078,0.510769231,0.489230769,0.489130435,0.489230769,0.528076923,0.533177151,13.07532883,0.027295351
horses_or_humans,7,0.000321167,3,8,0.458333333,0.539130435,0.460869565,0.46031746,0.460869565,0.413478261,0.455982057,26.49146962,0.032988787
horses_or_humans,8,3.13E-06,1,8,0.520833333,0.493913043,0.506086957,0.512195122,0.506086957,0.550869565,0.556643014,16.7525537,0.031662464
horses_or_humans,9,3.46E-05,3,2,0.490196078,0.512307692,0.487692308,0.486842105,0.487692308,0.450384615,0.472597912,27.89369202,0.035351515
mnist,0,2.28E-05,0,4,0.055,0.105302778,0.056089681,0.055339105,0.056089681,0.510469634,0.102838239,24.57894492,0.038576365
mnist,1,1.03E-06,0,2,0.09,0.101798441,0.08607497,0.066874456,0.08607497,0.507376991,0.110663767,26.35260034,0.040108681
mnist,2,2.33E-06,0,7,0.12244898,0.098373245,0.116800697,0.0994131,0.116800697,0.525351561,0.135827505,24.11741924,0.045570374
mnist,3,4.13E-05,3,8,0.13,0.096788975,0.126551161,0.121801398,0.126551161,0.505555858,0.123825275,52.29090357,0.05177927
mnist,4,2.20E-05,2,5,0.11,0.099029114,0.108333333,0.10371783,0.108333333,0.482212679,0.116606758,43.10533547,0.051720619
mnist,5,0.000253285,2,6,0.116161616,0.098246955,0.11414787,0.114050482,0.11414787,0.506665558,0.112210506,42.59171152,0.06434226
mnist,6,1.01E-06,1,5,0.105,0.100053228,0.099264069,0.080647377,0.099264069,0.492819464,0.115639271,33.50832701,0.041022539
mnist,7,3.34E-05,3,5,0.095,0.100670973,0.094256429,0.106624154,0.094256429,0.513169895,0.108026425,52.47735453,0.048341751
mnist,8,1.01E-06,3,2,0.125,0.098016275,0.116095674,0.098970672,0.116095674,0.512343784,0.11895236,55.34800482,0.050443888
mnist,9,1.36E-05,2,4,0.105,0.099650587,0.103592269,0.118561985,0.103592269,0.526312262,0.115057483,43.93126631,0.046023846
stl10,0,0.002945659,0,2,0.37,0.069990947,0.363419534,0.35918254,0.363419534,0.805306111,0.382703433,41.1955502,0.063940525
stl10,1,0.007302998,0,8,0.43,0.063379465,0.425945166,0.440411343,0.425945166,0.819634897,0.444376993,38.61759162,0.051706314
stl10,2,0.006583912,0,2,0.41,0.065543119,0.405061138,0.407775566,0.405061138,0.820963793,0.432154335,41.31560254,0.050728559
stl10,3,0.009013821,0,8,0.475,0.058388801,0.47134427,0.483473573,0.47134427,0.85910936,0.515679282,38.63652754,0.066030979
stl10,4,0.00315209,0,8,0.46,0.060095245,0.457447786,0.480829362,0.457447786,0.831511986,0.454042676,38.62077069,0.062167168
stl10,5,6.73E-05,3,8,0.39,0.067805349,0.387518417,0.380948204,0.387518417,0.825678365,0.391465489,84.79400992,0.081554174
stl10,6,0.007824775,0,8,0.44,0.062256015,0.435878332,0.447633305,0.435878332,0.833726451,0.47312658,39.25772619,0.062390804
stl10,7,2.92E-05,3,8,0.46,0.060011893,0.452887902,0.453110532,0.452887902,0.83831566,0.456305114,84.8684628,0.082000256
stl10,8,0.012083278,0,8,0.47,0.058894604,0.463171186,0.476184946,0.463171186,0.843224844,0.484126624,38.6102066,0.062625408
stl10,9,0.005427462,0,8,0.44,0.062175959,0.435336827,0.436251012,0.435336827,0.846068636,0.463738874,38.69689989,0.063768864
plant_village,0,0.000001,3,4,0.11,0.026308411,0.026315789,0.002953813,0.026315789,-1,-1,52.50103164,0.048218012
plant_village,1,0.000001,0,2,0.085,0.026839759,0.021428571,0.004209048,0.021428571,-1,-1,25.58772302,0.037526608
plant_village,2,0.000001,0,2,0.11,0.026243548,0.026674641,0.005001139,0.026674641,-1,-1,25.70903683,0.035892487
plant_village,3,4.40E-06,0,8,0.09,0.02688423,0.021650718,0.004784689,0.021650718,-1,-1,23.01814127,0.034533739
plant_village,4,4.23E-06,0,2,0.085,0.026940731,0.020720362,0.00476917,0.020720362,-1,-1,25.5378015,0.038707972
plant_village,5,1.88E-06,3,4,0.11,0.026294435,0.026555024,0.006353722,0.026555024,-1,-1,52.49908996,0.050509691
plant_village,6,1.67E-06,3,2,0.085,0.027001651,0.020643415,0.009850082,0.020643415,-1,-1,53.96413183,0.050004005
plant_village,7,1.00E-06,1,2,0.085,0.026968879,0.020813397,0.004759502,0.020813397,0.544811383,0.052086005,35.15946245,0.040798903
plant_village,8,2.43E-06,3,3,0.075757576,0.027292902,0.018062201,0.003418369,0.018062201,0.553388693,0.037217474,52.42832637,0.049115181
plant_village,9,2.93E-06,0,8,0.1,0.026504698,0.024760766,0.005231177,0.024760766,0.503343827,0.031875841,23.03895617,0.035912037
cats_vs_dogs,0,3.36E-06,3,3,0.52020202,0.491006643,0.508993357,0.512987013,0.508993357,0.460909555,0.484158417,51.9779737,0.049037933
cats_vs_dogs,1,1.06E-06,2,6,0.47979798,0.533929484,0.466070516,0.4375,0.466070516,0.485232499,0.500455353,41.89017558,0.04432416
cats_vs_dogs,2,1.02E-06,0,2,0.49,0.521233974,0.478766026,0.469114219,0.478766026,0.461889022,0.489572113,25.27206206,0.036894321
cats_vs_dogs,3,1.01E-06,3,5,0.54,0.474759615,0.525240385,0.555702918,0.525240385,0.510717147,0.517857637,50.98935342,0.052564144
cats_vs_dogs,4,1.00E-06,3,4,0.495,0.521634615,0.478365385,0.430568949,0.478365385,0.447315705,0.455564375,51.57780004,0.048670769
cats_vs_dogs,5,1.02E-06,1,8,0.535,0.483573718,0.516426282,0.621391562,0.516426282,0.471454327,0.498587727,32.16793847,0.042879343
cats_vs_dogs,6,0.00001,1,4,0.535,0.478365385,0.521634615,0.539194339,0.521634615,0.5078125,0.501917803,33.10616589,0.042270184
cats_vs_dogs,7,1.00E-06,1,7,0.494897959,0.511041667,0.488958333,0.48332022,0.488958333,0.509375,0.498974961,32.1719923,0.056456089
cats_vs_dogs,8,1.01E-06,3,4,0.51,0.506766917,0.493233083,0.487751769,0.493233083,0.486115288,0.480630816,52.18130326,0.062277555
cats_vs_dogs,9,1.00E-06,2,7,0.5,0.527591973,0.472408027,0.358064516,0.472408027,0.477686037,0.457310971,41.43078852,0.044124842
beans,0,8.74E-05,0,3,0.382352941,0.308102345,0.382142857,0.385570229,0.382142857,0.572154851,0.410963794,12.77476168,0.035239458
beans,1,1.02E-06,0,5,0.39,0.304218657,0.392156863,0.398629149,0.392156863,0.535822378,0.358286439,12.29595256,0.027895689
beans,2,1.49E-06,0,6,0.31372549,0.345486851,0.307440476,0.281547619,0.307440476,0.542226368,0.371971207,12.20269203,0.026909828
beans,3,1.04E-06,3,5,0.3,0.348633393,0.301470588,0.290127279,0.301470588,0.498709522,0.374564674,27.2453239,0.033062696
beans,4,0.010296338,0,6,0.284313725,0.357843137,0.284313725,0.286497757,0.284313725,0.41839677,0.283074469,12.13402367,0.028886318
